event_date,root_zone_name,total_events
2025-09-09,"Общежитие 1",614
2025-09-09,"Общежитие 3",987
2025-09-09,"Общежитие 4",798
2025-09-09,"Общежитие 5",2080
2025-09-09,"Парковка Республики 9",42
2025-09-10,"Ишим Корпус №1",884
2025-09-10,"Ишим Корпус №5",235
2025-09-10,"Ишим Корпус №6",59
2025-09-10,"Ишим Общежитие",124
2025-09-10,"Кирова 25 (кадры, док обеспечение)",838
2025-09-10,"Корпус № 4 Приемная комиссия",1043
2025-09-10,"Корпус №1",8780
2025-09-10,"Корпус №10",3798
2025-09-10,"Корпус №11",6833
2025-09-10,"Корпус №12",2498
2025-09-10,"Корпус №13",662
2025-09-10,"Корпус №14",10
2025-09-10,"Корпус №16",442
2025-09-10,"Корпус №19",1948
2025-09-10,"Корпус №22 Ленина 12 (Кап строй)",34
2025-09-10,"Корпус №22 Ленина 12 (СГИ)",73
2025-09-10,"Корпус №3",768
2025-09-10,"Корпус №4",6161
2025-09-10,"Корпус №5",3534
2025-09-10,"Корпус №6",623
2025-09-10,"Корпус №7",657
2025-09-10,"Корпус №8",1058
2025-09-10,"Общежитие 1",777
2025-09-10,"Общежитие 3",988
2025-09-10,"Общежитие 4",659
2025-09-10,"Общежитие 5",2289
2025-09-10,"Парковка Республики 9",49
2025-09-11,"Ишим Корпус №1",963
2025-09-11,"Ишим Корпус №5",186
2025-09-11,"Ишим Корпус №6",41
2025-09-11,"Ишим Общежитие",72
2025-09-11,"Кирова 25 (кадры, док обеспечение)",721
2025-09-11,"Корпус № 4 Приемная комиссия",871
2025-09-11,"Корпус №1",7757
2025-09-11,"Корпус №10",3461
2025-09-11,"Корпус №11",5580
2025-09-11,"Корпус №12",1942
2025-09-11,"Корпус №13",645
2025-09-11,"Корпус №14",10
2025-09-11,"Корпус №16",839
2025-09-11,"Корпус №19",1648
2025-09-11,"Корпус №22 Ленина 12 (Кап строй)",25
2025-09-11,"Корпус №22 Ленина 12 (СГИ)",63
2025-09-11,"Корпус №3",1023
2025-09-11,"Корпус №4",4601
2025-09-11,"Корпус №5",3638
2025-09-11,"Корпус №6",746
2025-09-11,"Корпус №7",628
2025-09-11,"Корпус №8",991
2025-09-11,"Общежитие 1",772
2025-09-11,"Общежитие 3",998
2025-09-11,"Общежитие 4",900
2025-09-11,"Общежитие 5",2347
2025-09-11,"Парковка Республики 9",48
2025-09-12,"Ишим Корпус №1",756
2025-09-12,"Ишим Корпус №5",379
2025-09-12,"Ишим Корпус №6",53
2025-09-12,"Ишим Общежитие",443
2025-09-12,"Кирова 25 (кадры, док обеспечение)",625
2025-09-12,"Корпус № 4 Приемная комиссия",874
2025-09-12,"Корпус №1",8666
2025-09-12,"Корпус №10",3276
2025-09-12,"Корпус №11",5913
2025-09-12,"Корпус №12",1855
2025-09-12,"Корпус №13",1059
2025-09-12,"Корпус №14",4
2025-09-12,"Корпус №16",1002
2025-09-12,"Корпус №19",1856
2025-09-12,"Корпус №22 Ленина 12 (Кап строй)",19
2025-09-12,"Корпус №22 Ленина 12 (СГИ)",72
2025-09-12,"Корпус №3",910
2025-09-12,"Корпус №4",5264
2025-09-12,"Корпус №5",3866
2025-09-12,"Корпус №6",1073
2025-09-12,"Корпус №7",763
2025-09-12,"Корпус №8",1051
2025-09-12,"Общежитие 1",522
2025-09-12,"Общежитие 3",1018
2025-09-12,"Общежитие 4",998
2025-09-12,"Общежитие 5",2264
2025-09-12,"Парковка Республики 9",38
2025-09-13,"Ишим Корпус №1",215
2025-09-13,"Ишим Корпус №5",92
2025-09-13,"Ишим Корпус №6",13
2025-09-13,"Кирова 25 (кадры, док обеспечение)",5
2025-09-13,"Корпус № 4 Приемная комиссия",468
2025-09-13,"Корпус №1",5746
2025-09-13,"Корпус №10",3139
2025-09-13,"Корпус №11",4357
2025-09-13,"Корпус №12",332
2025-09-13,"Корпус №13",101
2025-09-13,"Корпус №16",464
2025-09-13,"Корпус №19",732
2025-09-13,"Корпус №22 Ленина 12 (Кап строй)",3
2025-09-13,"Корпус №3",702
2025-09-13,"Корпус №4",4519
2025-09-13,"Корпус №5",2632
2025-09-13,"Корпус №6",660
2025-09-13,"Корпус №7",31
2025-09-13,"Корпус №8",625
2025-09-13,"Общежитие 1",691
2025-09-13,"Общежитие 3",873
2025-09-13,"Общежитие 4",1257
2025-09-13,"Общежитие 5",2018
2025-09-13,"Парковка Республики 9",7
2025-09-14,"Ишим Корпус №1",1
2025-09-14,"Ишим Общежитие",1
2025-09-14,"Корпус № 4 Приемная комиссия",80
2025-09-14,"Корпус №1",214
2025-09-14,"Корпус №11",271
2025-09-14,"Корпус №14",2
2025-09-14,"Корпус №16",136
2025-09-14,"Корпус №19",84
2025-09-14,"Корпус №22 Ленина 12 (СГИ)",3
2025-09-14,"Корпус №3",5
2025-09-14,"Корпус №4",2
2025-09-14,"Корпус №5",312
2025-09-14,"Корпус №6",42
2025-09-14,"Корпус №7",8
2025-09-14,"Корпус №8",122
2025-09-14,"Общежитие 1",568
2025-09-14,"Общежитие 3",784
2025-09-14,"Общежитие 4",778
2025-09-14,"Общежитие 5",1677
2025-09-14,"Парковка Республики 9",1
2025-09-15,"Ишим Корпус №1",1490
2025-09-15,"Ишим Корпус №5",429
2025-09-15,"Ишим Корпус №6",21
2025-09-15,"Ишим Общежитие",613
2025-09-15,"Кирова 25 (кадры, док обеспечение)",689
2025-09-15,"Корпус № 4 Приемная комиссия",1094
2025-09-15,"Корпус №1",13066
2025-09-15,"Корпус №10",4167
2025-09-15,"Корпус №11",6996
2025-09-15,"Корпус №12",2565
2025-09-15,"Корпус №13",272
2025-09-15,"Корпус №14",18
2025-09-15,"Корпус №16",704
2025-09-15,"Корпус №19",2542
2025-09-15,"Корпус №22 Ленина 12 (Кап строй)",28
2025-09-15,"Корпус №22 Ленина 12 (СГИ)",80
2025-09-15,"Корпус №3",879
2025-09-15,"Корпус №4",6488
2025-09-15,"Корпус №5",4615
2025-09-15,"Корпус №6",1001
2025-09-15,"Корпус №7",312
2025-09-15,"Корпус №8",1274
2025-09-15,"Общежитие 1",887
2025-09-15,"Общежитие 3",1099
2025-09-15,"Общежитие 4",1003
2025-09-15,"Общежитие 5",2516
2025-09-15,"Парковка Республики 9",68
2025-09-16,"Ишим Корпус №1",1303
2025-09-16,"Ишим Корпус №5",452
2025-09-16,"Ишим Корпус №6",53
2025-09-16,"Ишим Общежитие",415
2025-09-16,"Кирова 25 (кадры, док обеспечение)",541
2025-09-16,"Корпус № 4 Приемная комиссия",1052
2025-09-16,"Корпус №1",9989
2025-09-16,"Корпус №10",4065
2025-09-16,"Корпус №11",5609
2025-09-16,"Корпус №12",1903
2025-09-16,"Корпус №13",364
2025-09-16,"Корпус №14",10
2025-09-16,"Корпус №16",952
2025-09-16,"Корпус №19",1751
2025-09-16,"Корпус №22 Ленина 12 (Кап строй)",29
2025-09-16,"Корпус №22 Ленина 12 (СГИ)",73
2025-09-16,"Корпус №3",914
2025-09-16,"Корпус №4",4548
2025-09-16,"Корпус №5",4181
2025-09-16,"Корпус №6",847
2025-09-16,"Корпус №7",318
2025-09-16,"Корпус №8",1288
2025-09-16,"Общежитие 1",893
2025-09-16,"Общежитие 3",991
2025-09-16,"Общежитие 4",915
2025-09-16,"Общежитие 5",2500
2025-09-16,"Парковка Республики 9",58
2025-09-17,"Ишим Корпус №1",1390
2025-09-17,"Ишим Корпус №5",548
2025-09-17,"Ишим Корпус №6",1
2025-09-17,"Ишим Общежитие",28
2025-09-17,"Кирова 25 (кадры, док обеспечение)",451
2025-09-17,"Корпус № 4 Приемная комиссия",881
2025-09-17,"Корпус №1",9858
2025-09-17,"Корпус №10",4195
2025-09-17,"Корпус №11",6300
2025-09-17,"Корпус №12",2648
2025-09-17,"Корпус №13",322
2025-09-17,"Корпус №14",6
2025-09-17,"Корпус №16",661
2025-09-17,"Корпус №19",1950
2025-09-17,"Корпус №22 Ленина 12 (Кап строй)",38
2025-09-17,"Корпус №22 Ленина 12 (СГИ)",69
2025-09-17,"Корпус №3",804
2025-09-17,"Корпус №4",6667
2025-09-17,"Корпус №5",5201
2025-09-17,"Корпус №6",1245
2025-09-17,"Корпус №7",466
2025-09-17,"Корпус №8",1125
2025-09-17,"Общежитие 1",854
2025-09-17,"Общежитие 3",1082
2025-09-17,"Общежитие 4",921
2025-09-17,"Общежитие 5",2617
2025-09-17,"Парковка Республики 9",50
2025-09-18,"Ишим Корпус №1",1473
2025-09-18,"Ишим Корпус №5",403
2025-09-18,"Ишим Корпус №6",114
2025-09-18,"Ишим Общежитие",507
2025-09-18,"Кирова 25 (кадры, док обеспечение)",459
2025-09-18,"Корпус № 4 Приемная комиссия",916
2025-09-18,"Корпус №1",7952
2025-09-18,"Корпус №10",3907
2025-09-18,"Корпус №11",5654
2025-09-18,"Корпус №12",1886
2025-09-18,"Корпус №13",519
2025-09-18,"Корпус №14",10
2025-09-18,"Корпус №16",818
2025-09-18,"Корпус №19",1460
2025-09-18,"Корпус №22 Ленина 12 (Кап строй)",34
2025-09-18,"Корпус №22 Ленина 12 (СГИ)",70
2025-09-18,"Корпус №3",944
2025-09-18,"Корпус №4",4916
2025-09-18,"Корпус №5",4405
2025-09-18,"Корпус №6",749
2025-09-18,"Корпус №7",301
2025-09-18,"Корпус №8",1213
2025-09-18,"Общежитие 1",781
2025-09-18,"Общежитие 3",1080
2025-09-18,"Общежитие 4",953
2025-09-18,"Общежитие 5",2579
2025-09-18,"Парковка Республики 9",69
2025-09-19,"Ишим Корпус №1",933
2025-09-19,"Ишим Корпус №5",188
2025-09-19,"Ишим Корпус №6",2
2025-09-19,"Ишим Общежитие",334
2025-09-19,"Кирова 25 (кадры, док обеспечение)",434
2025-09-19,"Корпус № 4 Приемная комиссия",940
2025-09-19,"Корпус №1",9181
2025-09-19,"Корпус №10",4008
2025-09-19,"Корпус №11",5981
2025-09-19,"Корпус №12",2005
2025-09-19,"Корпус №13",384
2025-09-19,"Корпус №14",16
2025-09-19,"Корпус №16",664
2025-09-19,"Корпус №19",1819
2025-09-19,"Корпус №22 Ленина 12 (Кап строй)",35
2025-09-19,"Корпус №22 Ленина 12 (СГИ)",65
2025-09-19,"Корпус №3",836
2025-09-19,"Корпус №4",5848
2025-09-19,"Корпус №5",4617
2025-09-19,"Корпус №6",963
2025-09-19,"Корпус №7",347
2025-09-19,"Корпус №8",1253
2025-09-19,"Общежитие 1",590
2025-09-19,"Общежитие 3",1072
2025-09-19,"Общежитие 4",949
2025-09-19,"Общежитие 5",2571
2025-09-19,"Парковка Республики 9",62
2025-09-20,"Ишим Корпус №1",391
2025-09-20,"Ишим Корпус №5",160
2025-09-20,"Ишим Корпус №6",1
2025-09-20,"Ишим Общежитие",7
2025-09-20,"Кирова 25 (кадры, док обеспечение)",9
2025-09-20,"Корпус № 4 Приемная комиссия",186
2025-09-20,"Корпус №1",7062
2025-09-20,"Корпус №10",2871
2025-09-20,"Корпус №11",4235
2025-09-20,"Корпус №12",414
2025-09-20,"Корпус №13",73
2025-09-20,"Корпус №14",6
2025-09-20,"Корпус №16",311
2025-09-20,"Корпус №19",803
2025-09-20,"Корпус №22 Ленина 12 (СГИ)",2
2025-09-20,"Корпус №3",632
2025-09-20,"Корпус №4",4431
2025-09-20,"Корпус №5",3225
2025-09-20,"Корпус №6",788
2025-09-20,"Корпус №7",209
2025-09-20,"Корпус №8",537
2025-09-20,"Общежитие 1",753
2025-09-20,"Общежитие 3",943
2025-09-20,"Общежитие 4",967
2025-09-20,"Общежитие 5",2263
2025-09-20,"Парковка Республики 9",7
2025-09-21,"Ишим Общежитие",10
2025-09-21,"Кирова 25 (кадры, док обеспечение)",31
2025-09-21,"Корпус № 4 Приемная комиссия",67
2025-09-21,"Корпус №1",1368
2025-09-21,"Корпус №10",2
2025-09-21,"Корпус №11",245
2025-09-21,"Корпус №14",2
2025-09-21,"Корпус №16",285
2025-09-21,"Корпус №19",135
2025-09-21,"Корпус №22 Ленина 12 (СГИ)",12
2025-09-21,"Корпус №3",6
2025-09-21,"Корпус №4",8
2025-09-21,"Корпус №5",212
2025-09-21,"Корпус №6",41
2025-09-21,"Корпус №7",90
2025-09-21,"Корпус №8",205
2025-09-21,"Общежитие 1",562
2025-09-21,"Общежитие 3",793
2025-09-21,"Общежитие 4",830
2025-09-21,"Общежитие 5",1666
2025-09-21,"Парковка Республики 9",7
2025-09-22,"Ишим Корпус №1",1308
2025-09-22,"Ишим Корпус №5",271
2025-09-22,"Ишим Корпус №6",24
2025-09-22,"Ишим Общежитие",297
2025-09-22,"Кирова 25 (кадры, док обеспечение)",460
2025-09-22,"Корпус № 4 Приемная комиссия",990
2025-09-22,"Корпус №1",10294
2025-09-22,"Корпус №10",4524
2025-09-22,"Корпус №11",5612
2025-09-22,"Корпус №12",1440
2025-09-22,"Корпус №13",306
2025-09-22,"Корпус №14",2
2025-09-22,"Корпус №16",666
2025-09-22,"Корпус №19",1920
2025-09-22,"Корпус №22 Ленина 12 (Кап строй)",30
2025-09-22,"Корпус №22 Ленина 12 (СГИ)",79
2025-09-22,"Корпус №3",878
2025-09-22,"Корпус №4",6410
2025-09-22,"Корпус №5",3838
2025-09-22,"Корпус №6",1379
2025-09-22,"Корпус №7",349
2025-09-22,"Корпус №8",1208
2025-09-22,"Общежитие 1",793
2025-09-22,"Общежитие 3",986
2025-09-22,"Общежитие 4",915
2025-09-22,"Общежитие 5",2597
2025-09-22,"Парковка Республики 9",59
2025-09-23,"Ишим Корпус №1",1294
2025-09-23,"Ишим Корпус №5",316
2025-09-23,"Ишим Корпус №6",2
2025-09-23,"Ишим Общежитие",436
2025-09-23,"Кирова 25 (кадры, док обеспечение)",491
2025-09-23,"Корпус № 4 Приемная комиссия",763
2025-09-23,"Корпус №1",8645
2025-09-23,"Корпус №10",4754
2025-09-23,"Корпус №11",5287
2025-09-23,"Корпус №12",998
2025-09-23,"Корпус №13",347
2025-09-23,"Корпус №14",16
2025-09-23,"Корпус №16",742
2025-09-23,"Корпус №19",1930
2025-09-23,"Корпус №22 Ленина 12 (Кап строй)",33
2025-09-23,"Корпус №22 Ленина 12 (СГИ)",73
2025-09-23,"Корпус №3",879
2025-09-23,"Корпус №4",5000
2025-09-23,"Корпус №5",3699
2025-09-23,"Корпус №6",881
2025-09-23,"Корпус №7",308
2025-09-23,"Корпус №8",1132
2025-09-23,"Общежитие 1",885
2025-09-23,"Общежитие 3",1097
2025-09-23,"Общежитие 4",1001
2025-09-23,"Общежитие 5",2458
2025-09-23,"Парковка Республики 9",62
2025-09-24,"Ишим Корпус №1",1332
2025-09-24,"Ишим Корпус №5",522
2025-09-24,"Ишим Корпус №6",5
2025-09-24,"Ишим Общежитие",495
2025-09-24,"Кирова 25 (кадры, док обеспечение)",404
2025-09-24,"Корпус № 4 Приемная комиссия",794
2025-09-24,"Корпус №1",10019
2025-09-24,"Корпус №10",5244
2025-09-24,"Корпус №11",5284
2025-09-24,"Корпус №12",1119
2025-09-24,"Корпус №13",392
2025-09-24,"Корпус №14",10
2025-09-24,"Корпус №16",510
2025-09-24,"Корпус №19",1797
2025-09-24,"Корпус №22 Ленина 12 (Кап строй)",36
2025-09-24,"Корпус №22 Ленина 12 (СГИ)",65
2025-09-24,"Корпус №3",822
2025-09-24,"Корпус №4",6392
2025-09-24,"Корпус №5",3318
2025-09-24,"Корпус №6",1179
2025-09-24,"Корпус №7",300
2025-09-24,"Корпус №8",1073
2025-09-24,"Общежитие 1",844
2025-09-24,"Общежитие 3",993
2025-09-24,"Общежитие 4",964
2025-09-24,"Общежитие 5",2522
2025-09-24,"Парковка Перекопская 15",18
2025-09-24,"Парковка Республики 9",59
2025-09-25,"Ишим Корпус №1",1031
2025-09-25,"Ишим Корпус №5",992
2025-09-25,"Ишим Корпус №6",61
2025-09-25,"Ишим Общежитие",343
2025-09-25,"Кирова 25 (кадры, док обеспечение)",466
2025-09-25,"Корпус № 4 Приемная комиссия",687
2025-09-25,"Корпус №1",7967
2025-09-25,"Корпус №10",4148
2025-09-25,"Корпус №11",4485
2025-09-25,"Корпус №12",1178
2025-09-25,"Корпус №13",510
2025-09-25,"Корпус №14",4
2025-09-25,"Корпус №16",564
2025-09-25,"Корпус №19",1371
2025-09-25,"Корпус №22 Ленина 12 (Кап строй)",22
2025-09-25,"Корпус №22 Ленина 12 (СГИ)",57
2025-09-25,"Корпус №3",980
2025-09-25,"Корпус №4",4890
2025-09-25,"Корпус №5",3050
2025-09-25,"Корпус №6",787
2025-09-25,"Корпус №7",285
2025-09-25,"Корпус №8",1097
2025-09-25,"Общежитие 1",769
2025-09-25,"Общежитие 3",1011
2025-09-25,"Общежитие 4",896
2025-09-25,"Общежитие 5",2502
2025-09-25,"Парковка Перекопская 15",16
2025-09-25,"Парковка Республики 9",62
2025-09-26,"Ишим Корпус №1",1151
2025-09-26,"Ишим Корпус №5",452
2025-09-26,"Ишим Корпус №6",27
2025-09-26,"Ишим Общежитие",442
2025-09-26,"Кирова 25 (кадры, док обеспечение)",394
2025-09-26,"Корпус № 4 Приемная комиссия",881
2025-09-26,"Корпус №1",9857
2025-09-26,"Корпус №10",4514
2025-09-26,"Корпус №11",5482
2025-09-26,"Корпус №12",914
2025-09-26,"Корпус №13",327
2025-09-26,"Корпус №14",8
2025-09-26,"Корпус №16",539
2025-09-26,"Корпус №19",1960
2025-09-26,"Корпус №22 Ленина 12 (Кап строй)",30
2025-09-26,"Корпус №22 Ленина 12 (СГИ)",72
2025-09-26,"Корпус №3",825
2025-09-26,"Корпус №4",6284
2025-09-26,"Корпус №5",3470
2025-09-26,"Корпус №6",1033
2025-09-26,"Корпус №7",300
2025-09-26,"Корпус №8",927
2025-09-26,"Общежитие 1",596
2025-09-26,"Общежитие 3",1060
2025-09-26,"Общежитие 4",944
2025-09-26,"Общежитие 5",2592
2025-09-26,"Парковка Перекопская 15",5
2025-09-26,"Парковка Республики 9",66
2025-09-27,"Ишим Корпус №1",395
2025-09-27,"Ишим Корпус №5",210
2025-09-27,"Ишим Корпус №6",27
2025-09-27,"Ишим Общежитие",39
2025-09-27,"Кирова 25 (кадры, док обеспечение)",10
2025-09-27,"Корпус № 4 Приемная комиссия",176
2025-09-27,"Корпус №1",6873
2025-09-27,"Корпус №10",3176
2025-09-27,"Корпус №11",3848
2025-09-27,"Корпус №12",334
2025-09-27,"Корпус №13",73
2025-09-27,"Корпус №14",4
2025-09-27,"Корпус №16",195
2025-09-27,"Корпус №19",721
2025-09-27,"Корпус №3",555
2025-09-27,"Корпус №4",4527
2025-09-27,"Корпус №5",2625
2025-09-27,"Корпус №6",689
2025-09-27,"Корпус №7",295
2025-09-27,"Корпус №8",461
2025-09-27,"Общежитие 1",801
2025-09-27,"Общежитие 3",962
2025-09-27,"Общежитие 4",764
2025-09-27,"Общежитие 5",2158
2025-09-27,"Парковка Перекопская 15",3
2025-09-27,"Парковка Республики 9",11
2025-09-28,"Ишим Корпус №1",1
2025-09-28,"Ишим Общежитие",1
2025-09-28,"Кирова 25 (кадры, док обеспечение)",1
2025-09-28,"Корпус № 4 Приемная комиссия",60
2025-09-28,"Корпус №1",364
2025-09-28,"Корпус №11",1198
2025-09-28,"Корпус №14",4
2025-09-28,"Корпус №16",94
2025-09-28,"Корпус №19",248
2025-09-28,"Корпус №4",3
2025-09-28,"Корпус №5",106
2025-09-28,"Корпус №6",12
2025-09-28,"Корпус №7",34
2025-09-28,"Корпус №8",185
2025-09-28,"Общежитие 1",608
2025-09-28,"Общежитие 3",872
2025-09-28,"Общежитие 4",695
2025-09-28,"Общежитие 5",1725
2025-09-28,"Парковка Перекопская 15",2
2025-09-29,"Ишим Корпус №1",1096
2025-09-29,"Ишим Корпус №5",430
2025-09-29,"Ишим Корпус №6",108
2025-09-29,"Ишим Общежитие",928
2025-09-29,"Кирова 25 (кадры, док обеспечение)",467
2025-09-29,"Корпус № 4 Приемная комиссия",866
2025-09-29,"Корпус №1",10231
2025-09-29,"Корпус №10",4246
2025-09-29,"Корпус №11",5923
2025-09-29,"Корпус №12",1152
2025-09-29,"Корпус №13",359
2025-09-29,"Корпус №14",18
2025-09-29,"Корпус №16",489
2025-09-29,"Корпус №19",1796
2025-09-29,"Корпус №22 Ленина 12 (Кап строй)",24
2025-09-29,"Корпус №22 Ленина 12 (СГИ)",84
2025-09-29,"Корпус №3",867
2025-09-29,"Корпус №4",6464
2025-09-29,"Корпус №5",4937
2025-09-29,"Корпус №6",1404
2025-09-29,"Корпус №7",302
2025-09-29,"Корпус №8",978
2025-09-29,"Общежитие 1",876
2025-09-29,"Общежитие 3",1115
2025-09-29,"Общежитие 4",922
2025-09-29,"Общежитие 5",2672
2025-09-29,"Парковка Перекопская 15",11
2025-09-29,"Парковка Республики 9",81
2025-09-30,"Ишим Корпус №1",1206
2025-09-30,"Ишим Корпус №5",565
2025-09-30,"Ишим Корпус №6",140
2025-09-30,"Ишим Общежитие",1118
2025-09-30,"Кирова 25 (кадры, док обеспечение)",438
2025-09-30,"Корпус № 4 Приемная комиссия",856
2025-09-30,"Корпус №1",10104
2025-09-30,"Корпус №10",3729
2025-09-30,"Корпус №11",5877
2025-09-30,"Корпус №12",1482
2025-09-30,"Корпус №13",359
2025-09-30,"Корпус №14",4
2025-09-30,"Корпус №16",292
2025-09-30,"Корпус №19",1603
2025-09-30,"Корпус №22 Ленина 12 (Кап строй)",29
2025-09-30,"Корпус №22 Ленина 12 (СГИ)",87
2025-09-30,"Корпус №3",804
2025-09-30,"Корпус №4",5690
2025-09-30,"Корпус №5",4974
2025-09-30,"Корпус №6",1104
2025-09-30,"Корпус №7",327
2025-09-30,"Корпус №8",1210
2025-09-30,"Общежитие 1",839
2025-09-30,"Общежитие 3",966
2025-09-30,"Общежитие 4",906
2025-09-30,"Общежитие 5",2509
2025-09-30,"Парковка Перекопская 15",4
2025-09-30,"Парковка Республики 9",108
2025-10-01,"Ишим Корпус №1",1461
2025-10-01,"Ишим Корпус №5",469
2025-10-01,"Ишим Общежитие",191
2025-10-01,"Кирова 25 (кадры, док обеспечение)",446
2025-10-01,"Корпус № 4 Приемная комиссия",862
2025-10-01,"Корпус №1",9605
2025-10-01,"Корпус №10",3791
2025-10-01,"Корпус №11",6313
2025-10-01,"Корпус №12",893
2025-10-01,"Корпус №13",472
2025-10-01,"Корпус №14",22
2025-10-01,"Корпус №16",456
2025-10-01,"Корпус №19",1958
2025-10-01,"Корпус №22 Ленина 12 (Кап строй)",30
2025-10-01,"Корпус №22 Ленина 12 (СГИ)",54
2025-10-01,"Корпус №3",900
2025-10-01,"Корпус №4",6693
2025-10-01,"Корпус №5",3984
2025-10-01,"Корпус №6",1209
2025-10-01,"Корпус №7",380
2025-10-01,"Корпус №8",1217
2025-10-01,"Общежитие 1",819
2025-10-01,"Общежитие 3",1088
2025-10-01,"Общежитие 4",940
2025-10-01,"Общежитие 5",2382
2025-10-01,"Парковка Перекопская 15",6
2025-10-01,"Парковка Республики 9",69
2025-10-02,"Ишим Корпус №1",1331
2025-10-02,"Ишим Корпус №5",580
2025-10-02,"Ишим Корпус №6",218
2025-10-02,"Ишим Общежитие",224
2025-10-02,"Кирова 25 (кадры, док обеспечение)",401
2025-10-02,"Корпус № 4 Приемная комиссия",843
2025-10-02,"Корпус №1",9306
2025-10-02,"Корпус №10",3297
2025-10-02,"Корпус №11",5286
2025-10-02,"Корпус №12",1015
2025-10-02,"Корпус №13",566
2025-10-02,"Корпус №14",4
2025-10-02,"Корпус №16",387
2025-10-02,"Корпус №19",1767
2025-10-02,"Корпус №22 Ленина 12 (Кап строй)",34
2025-10-02,"Корпус №22 Ленина 12 (СГИ)",61
2025-10-02,"Корпус №3",1008
2025-10-02,"Корпус №4",5102
2025-10-02,"Корпус №5",4359
2025-10-02,"Корпус №6",939
2025-10-02,"Корпус №7",320
2025-10-02,"Корпус №8",1130
2025-10-02,"Общежитие 1",911
2025-10-02,"Общежитие 3",1150
2025-10-02,"Общежитие 4",1027
2025-10-02,"Общежитие 5",2417
2025-10-02,"Парковка Перекопская 15",8
2025-10-02,"Парковка Республики 9",92
2025-10-03,"Ишим Корпус №1",1290
2025-10-03,"Ишим Корпус №5",398
2025-10-03,"Ишим Корпус №6",92
2025-10-03,"Ишим Общежитие",866
2025-10-03,"Кирова 25 (кадры, док обеспечение)",463
2025-10-03,"Корпус № 4 Приемная комиссия",861
2025-10-03,"Корпус №1",10924
2025-10-03,"Корпус №10",3160
2025-10-03,"Корпус №11",5980
2025-10-03,"Корпус №12",963
2025-10-03,"Корпус №13",371
2025-10-03,"Корпус №14",16
2025-10-03,"Корпус №16",417
2025-10-03,"Корпус №19",2142
2025-10-03,"Корпус №22 Ленина 12 (Кап строй)",23
2025-10-03,"Корпус №22 Ленина 12 (СГИ)",59
2025-10-03,"Корпус №3",886
2025-10-03,"Корпус №4",6300
2025-10-03,"Корпус №5",4261
2025-10-03,"Корпус №6",1015
2025-10-03,"Корпус №7",310
2025-10-03,"Корпус №8",748
2025-10-03,"Общежитие 1",818
2025-10-03,"Общежитие 3",1098
2025-10-03,"Общежитие 4",939
2025-10-03,"Общежитие 5",2543
2025-10-03,"Парковка Перекопская 15",1
2025-10-03,"Парковка Республики 9",91
2025-10-04,"Ишим Корпус №1",177
2025-10-04,"Ишим Корпус №5",203
2025-10-04,"Ишим Корпус №6",44
2025-10-04,"Ишим Общежитие",2
2025-10-04,"Кирова 25 (кадры, док обеспечение)",8
2025-10-04,"Корпус № 4 Приемная комиссия",403
2025-10-04,"Корпус №1",8346
2025-10-04,"Корпус №10",2239
2025-10-04,"Корпус №11",4150
2025-10-04,"Корпус №12",90
2025-10-04,"Корпус №13",61
2025-10-04,"Корпус №14",4
2025-10-04,"Корпус №16",163
2025-10-04,"Корпус №19",793
2025-10-04,"Корпус №22 Ленина 12 (СГИ)",5
2025-10-04,"Корпус №3",704
2025-10-04,"Корпус №4",4351
2025-10-04,"Корпус №5",3039
2025-10-04,"Корпус №6",807
2025-10-04,"Корпус №7",497
2025-10-04,"Корпус №8",621
2025-10-04,"Общежитие 1",898
2025-10-04,"Общежитие 3",1097
2025-10-04,"Общежитие 4",976
2025-10-04,"Общежитие 5",2210
2025-10-04,"Парковка Республики 9",11
2025-10-05,"Ишим Корпус №5",2
2025-10-05,"Ишим Общежитие",1
2025-10-05,"Корпус № 4 Приемная комиссия",71
2025-10-05,"Корпус №1",1409
2025-10-05,"Корпус №11",254
2025-10-05,"Корпус №16",125
2025-10-05,"Корпус №19",198
2025-10-05,"Корпус №3",7
2025-10-05,"Корпус №4",4
2025-10-05,"Корпус №5",240
2025-10-05,"Корпус №6",43
2025-10-05,"Корпус №7",61
2025-10-05,"Корпус №8",312
2025-10-05,"Общежитие 1",672
2025-10-05,"Общежитие 3",946
2025-10-05,"Общежитие 4",836
2025-10-05,"Общежитие 5",1425
2025-10-05,"Парковка Перекопская 15",3
2025-10-05,"Парковка Республики 9",2
2025-10-06,"Ишим Корпус №1",992
2025-10-06,"Ишим Корпус №5",325
2025-10-06,"Ишим Корпус №6",300
2025-10-06,"Ишим Общежитие",114
2025-10-06,"Кирова 25 (кадры, док обеспечение)",502
2025-10-06,"Корпус № 4 Приемная комиссия",1042
2025-10-06,"Корпус №1",10169
2025-10-06,"Корпус №10",3868
2025-10-06,"Корпус №11",6233
2025-10-06,"Корпус №12",1194
2025-10-06,"Корпус №13",453
2025-10-06,"Корпус №14",16
2025-10-06,"Корпус №16",490
2025-10-06,"Корпус №19",1829
2025-10-06,"Корпус №22 Ленина 12 (Кап строй)",35
2025-10-06,"Корпус №22 Ленина 12 (СГИ)",60
2025-10-06,"Корпус №3",1134
2025-10-06,"Корпус №4",7152
2025-10-06,"Корпус №5",4631
2025-10-06,"Корпус №6",1544
2025-10-06,"Корпус №7",249
2025-10-06,"Корпус №8",1148
